identity,leader_class,lane_a,name_a,lane_b,name_b,comparisons,a_wins,a_win_rate,matched_fee_comparisons,matched_fee_a_wins,matched_fee_a_win_rate
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,4,temporal,80,41,0.5125,13,5,0.38461538461538464
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,5,astralane,10,8,0.8,5,4,0.8
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,6,landx,683,404,0.5915080527086384,398,235,0.5904522613065326
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,7,tpu-quic,1128,120,0.10638297872340426,174,16,0.09195402298850575
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,9,stellium,652,509,0.7806748466257669,395,321,0.8126582278481013
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,3,zeroslot,10,nodeone,463,193,0.4168466522678186,261,107,0.4099616858237548
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,4,temporal,5,astralane,32,28,0.875,32,28,0.875
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,4,temporal,6,landx,96,49,0.5104166666666666,22,17,0.7727272727272727
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,4,temporal,7,tpu-quic,209,30,0.14354066985645933,143,20,0.13986013986013987
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,4,temporal,9,stellium,69,23,0.3333333333333333,7,5,0.7142857142857143
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,4,temporal,10,nodeone,58,26,0.4482758620689655,9,7,0.7777777777777778
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,5,astralane,6,landx,19,7,0.3684210526315789,7,6,0.8571428571428571
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,5,astralane,7,tpu-quic,30,2,0.06666666666666667,24,2,0.08333333333333333
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,5,astralane,9,stellium,18,4,0.2222222222222222,3,2,0.6666666666666666
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,5,astralane,10,nodeone,12,4,0.3333333333333333,5,3,0.6
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,6,landx,7,tpu-quic,1092,140,0.1282051282051282,224,27,0.12053571428571429
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,6,landx,9,stellium,705,201,0.2851063829787234,441,125,0.2834467120181406
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,6,landx,10,nodeone,590,503,0.8525423728813559,347,289,0.8328530259365994
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,7,tpu-quic,9,stellium,963,853,0.885773624091381,142,119,0.8380281690140845
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,7,tpu-quic,10,nodeone,774,694,0.896640826873385,123,109,0.8861788617886179
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,prio,9,stellium,10,nodeone,495,347,0.701010101010101,289,208,0.7197231833910035
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,1,rpc,2,helius,2,0,0.0,1,0,0.0
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,1,rpc,3,zeroslot,3,1,0.3333333333333333,1,0,0.0
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,1,rpc,7,tpu-quic,3,0,0.0,0,0,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,2,helius,3,zeroslot,11,8,0.7272727272727273,6,5,0.8333333333333334
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,2,helius,6,landx,7,3,0.42857142857142855,4,2,0.5
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,2,helius,7,tpu-quic,11,1,0.09090909090909091,1,0,0.0
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,2,helius,9,stellium,8,5,0.625,4,3,0.75
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,2,helius,10,nodeone,5,2,0.4,3,2,0.6666666666666666
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,3,zeroslot,6,landx,9,7,0.7777777777777778,5,4,0.8
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,3,zeroslot,7,tpu-quic,14,0,0.0,0,0,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,3,zeroslot,9,stellium,10,9,0.9,7,7,1.0
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,3,zeroslot,10,nodeone,7,3,0.42857142857142855,5,2,0.4
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,6,landx,7,tpu-quic,9,1,0.1111111111111111,0,0,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,6,landx,9,stellium,9,3,0.3333333333333333,6,2,0.3333333333333333
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,6,landx,10,nodeone,7,4,0.5714285714285714,5,3,0.6
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,7,tpu-quic,9,stellium,10,10,1.0,0,0,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,7,tpu-quic,10,nodeone,7,6,0.8571428571428571,0,0,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,prio,9,stellium,10,nodeone,7,4,0.5714285714285714,5,3,0.6
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,2,helius,39,28,0.717948717948718,19,16,0.8421052631578947
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,3,zeroslot,44,34,0.7727272727272727,22,19,0.8636363636363636
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,4,temporal,2,1,0.5,1,1,1.0
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,6,landx,40,29,0.725,22,18,0.8181818181818182
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,7,tpu-quic,65,9,0.13846153846153847,24,4,0.16666666666666666
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,9,stellium,25,16,0.64,14,12,0.8571428571428571
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,1,rpc,10,nodeone,24,17,0.7083333333333334,16,13,0.8125
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,2,helius,3,zeroslot,85,64,0.7529411764705882,48,34,0.7083333333333334
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,2,helius,4,temporal,4,2,0.5,1,1,1.0
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,2,helius,6,landx,84,37,0.44047619047619047,49,21,0.42857142857142855
2Mob8FJkb8chZY5pTBMpKfLwgZAQHE5i9jAC5zbASitD,prio,2,helius,7,tpu-quic,88,4,0.045454545454545456,11,0,0.0
